"Time (s) Run #1","Output Voltage, Ch V (V) Run #1","Voltage, Ch A (V) Run #1","Time (s) Run #2","Output Voltage, Ch V (V) Run #2","Voltage, Ch A (V) Run #2","Time (s) Run #3","Output Voltage, Ch V (V) Run #3","Voltage, Ch A (V) Run #3","Time (s) Run #4","Output Voltage, Ch V (V) Run #4","Voltage, Ch A (V) Run #4","Time (s) Run #5","Output Voltage, Ch V (V) Run #5","Voltage, Ch A (V) Run #5","Time (s) Run #6","Output Voltage, Ch V (V) Run #6","Voltage, Ch A (V) Run #6","Time (s) Run #7","Output Voltage, Ch V (V) Run #7","Voltage, Ch A (V) Run #7","Time (s) Run #8","Output Voltage, Ch V (V) Run #8","Voltage, Ch A (V) Run #8","Time (s) Run #9","Output Voltage, Ch V (V) Run #9","Voltage, Ch A (V) Run #9","Time (s) Run #10","Output Voltage, Ch V (V) Run #10","Voltage, Ch A (V) Run #10","Time (s) Run #11","Output Voltage, Ch V (V) Run #11","Voltage, Ch A (V) Run #11","Time (s) Run #12","Output Voltage, Ch V (V) Run #12","Voltage, Ch A (V) Run #12","Time (s) Run #13","Output Voltage, Ch V (V) Run #13","Voltage, Ch A (V) Run #13","Time (s) Run #14","Output Voltage, Ch V (V) Run #14","Voltage, Ch A (V) Run #14","Time (s) Run #15","Output Voltage, Ch V (V) Run #15","Voltage, Ch A (V) Run #15","Time (s) Run #16","Output Voltage, Ch V (V) Run #16","Voltage, Ch A (V) Run #16","Time (s) Run #17","Output Voltage, Ch V (V) Run #17","Voltage, Ch A (V) Run #17","Time (s) Run #18","Output Voltage, Ch V (V) Run #18","Voltage, Ch A (V) Run #18","Time (s) Run #19","Output Voltage, Ch V (V) Run #19","Voltage, Ch A (V) Run #19","Time (s) Run #20","Output Voltage, Ch V (V) Run #20","Voltage, Ch A (V) Run #20","Time (s) Run #21","Output Voltage, Ch V (V) Run #21","Voltage, Ch A (V) Run #21"
0.000,-3.065,0.014,0.000,-3.474,-0.012,0.000,-4.933,0.010,0.000,-3.721,0.021,0.000,-1.900,-0.025,0.000,-3.805,-0.045,0.000,-3.606,-0.029,0.000,4.911,0.119,0.000,-4.904,-0.095,0.000,-1.249,-0.001,0.000,2.949,0.055,0.000,-3.451,-0.066,0.000,4.963,0.128,0.000,3.954,0.102,0.000,-4.998,-0.101,0.000,4.199,0.079,0.000,-4.459,-0.109,0.000,-4.943,-0.106,0.000,-4.932,-0.056,0.000,0.730,0.034,0.000,-4.184,0.001
2.000E-6,-3.009,0.012,2.000E-6,-3.518,-0.014,2.000E-6,-4.931,0.005,2.000E-6,-3.686,0.021,2.000E-6,-2.022,-0.027,2.000E-6,-4.004,-0.049,2.000E-6,-3.145,-0.020,2.000E-6,4.568,0.110,2.000E-6,-4.983,-0.097,2.000E-6,-0.008,0.022,2.000E-6,1.863,0.024,2.000E-6,-4.236,-0.082,2.000E-6,4.703,0.119,2.000E-6,3.078,0.082,2.000E-6,-4.802,-0.094,2.000E-6,3.825,0.063,2.000E-6,-4.710,-0.112,2.000E-6,-3.720,-0.108,2.000E-6,-4.866,-0.055,2.000E-6,0.852,0.035,2.000E-6,-4.154,-0.004
4.000E-6,-2.959,0.016,4.000E-6,-3.568,-0.011,4.000E-6,-4.925,0.002,4.000E-6,-3.649,0.014,4.000E-6,-2.132,-0.029,4.000E-6,-4.185,-0.051,4.000E-6,-2.638,-0.007,4.000E-6,3.921,0.087,4.000E-6,-4.737,-0.089,4.000E-6,1.228,0.045,4.000E-6,0.643,-1.699E-4,4.000E-6,-4.757,-0.093,4.000E-6,4.144,0.104,4.000E-6,2.002,0.051,4.000E-6,-4.321,-0.084,4.000E-6,3.402,0.046,4.000E-6,-4.890,-0.109,4.000E-6,-1.087,-0.061,4.000E-6,-4.787,-0.049,4.000E-6,0.969,0.032,4.000E-6,-4.120,-0.001
6.000E-6,-2.916,0.016,6.000E-6,-3.611,-0.011,6.000E-6,-4.915,0.002,6.000E-6,-3.605,0.018,6.000E-6,-2.251,-0.029,6.000E-6,-4.352,-0.048,6.000E-6,-2.088,0.002,6.000E-6,3.047,0.063,6.000E-6,-4.213,-0.075,6.000E-6,2.402,0.066,6.000E-6,-0.604,-0.027,6.000E-6,-4.977,-0.094,6.000E-6,3.329,0.079,6.000E-6,0.793,0.019,6.000E-6,-3.565,-0.065,6.000E-6,2.916,0.036,6.000E-6,-4.982,-0.105,6.000E-6,1.987,0.005,6.000E-6,-4.689,-0.049,6.000E-6,1.089,0.030,6.000E-6,-4.081,0.001
8.000E-6,-2.865,0.013,8.000E-6,-3.653,-0.009,8.000E-6,-4.904,0.001,8.000E-6,-3.560,0.021,8.000E-6,-2.366,-0.034,8.000E-6,-4.502,-0.048,8.000E-6,-1.502,0.013,8.000E-6,1.972,0.034,8.000E-6,-3.424,-0.055,8.000E-6,3.413,0.087,8.000E-6,-1.803,-0.053,8.000E-6,-4.856,-0.088,8.000E-6,2.311,0.056,8.000E-6,-0.456,-0.010,8.000E-6,-2.584,-0.043,8.000E-6,2.387,0.023,8.000E-6,-4.994,-0.097,8.000E-6,4.292,0.073,8.000E-6,-4.575,-0.044,8.000E-6,1.217,0.030,8.000E-6,-4.050,0.002
1.000E-5,-2.814,0.013,1.000E-5,-3.705,-0.012,1.000E-5,-4.896,0.003,1.000E-5,-3.526,0.016,1.000E-5,-2.477,-0.033,1.000E-5,-4.634,-0.048,1.000E-5,-0.894,0.028,1.000E-5,0.760,0.007,1.000E-5,-2.410,-0.031,1.000E-5,4.219,0.099,1.000E-5,-2.908,-0.076,1.000E-5,-4.455,-0.075,1.000E-5,1.125,0.027,1.000E-5,-1.664,-0.040,1.000E-5,-1.447,-0.017,1.000E-5,1.821,0.008,1.000E-5,-4.926,-0.092,1.000E-5,4.924,0.109,1.000E-5,-4.437,-0.039,1.000E-5,1.339,0.032,1.000E-5,-4.016,0.005
1.200E-5,-2.761,0.016,1.200E-5,-3.748,-0.017,1.200E-5,-4.883,0.003,1.200E-5,-3.479,0.013,1.200E-5,-2.592,-0.031,1.200E-5,-4.746,-0.053,1.200E-5,-0.269,0.038,1.200E-5,-0.491,-0.023,1.200E-5,-1.251,-0.005,1.200E-5,4.751,0.104,1.200E-5,-3.815,-0.088,1.200E-5,-3.770,-0.060,1.200E-5,-0.122,-0.011,1.200E-5,-2.774,-0.069,1.200E-5,-0.207,0.007,1.200E-5,1.229,-0.009,1.200E-5,-4.782,-0.084,1.200E-5,3.728,0.102,1.200E-5,-4.289,-0.037,1.200E-5,1.452,0.034,1.200E-5,-3.985,0.001
1.400E-5,-2.709,0.010,1.400E-5,-3.789,-0.015,1.400E-5,-4.871,0.002,1.400E-5,-3.438,0.019,1.400E-5,-2.699,-0.029,1.400E-5,-4.835,-0.048,1.400E-5,0.351,0.043,1.400E-5,-1.696,-0.049,1.400E-5,-0.008,0.019,1.400E-5,4.977,0.100,1.400E-5,-4.491,-0.098,1.400E-5,-2.841,-0.043,1.400E-5,-1.348,-0.043,1.400E-5,-3.722,-0.095,1.400E-5,1.042,0.036,1.400E-5,0.620,-0.018,1.400E-5,-4.564,-0.082,1.400E-5,1.094,0.057,1.400E-5,-4.116,-0.034,1.400E-5,1.576,0.033,1.400E-5,-3.947,0.002
1.600E-5,-2.658,0.007,1.600E-5,-3.836,-0.015,1.600E-5,-4.855,0.005,1.600E-5,-3.393,0.018,1.600E-5,-2.804,-0.029,1.600E-5,-4.912,-0.045,1.600E-5,0.974,0.050,1.600E-5,-2.799,-0.070,1.600E-5,1.228,0.041,1.600E-5,4.890,0.094,1.600E-5,-4.894,-0.104,1.600E-5,-1.737,-0.017,1.600E-5,-2.494,-0.069,1.600E-5,-4.433,-0.112,1.600E-5,2.226,0.065,1.600E-5,-0.005,-0.033,1.600E-5,-4.278,-0.076,1.600E-5,-1.953,-0.011,1.600E-5,-3.932,-0.029,1.600E-5,1.689,0.033,1.600E-5,-3.910,0.001
1.800E-5,-2.602,0.006,1.800E-5,-3.884,-0.017,1.800E-5,-4.842,0.007,1.800E-5,-3.349,0.016,1.800E-5,-2.915,-0.033,1.800E-5,-4.967,-0.044,1.800E-5,1.583,0.058,1.800E-5,-3.750,-0.082,1.800E-5,2.398,0.066,1.800E-5,4.514,0.079,1.800E-5,-4.968,-0.103,1.800E-5,-0.514,0.007,1.800E-5,-3.487,-0.091,1.800E-5,-4.866,-0.121,1.800E-5,3.268,0.089,1.800E-5,-0.634,-0.048,1.800E-5,-3.922,-0.065,1.800E-5,-4.273,-0.081,1.800E-5,-3.722,-0.023,1.800E-5,1.799,0.037,1.800E-5,-3.873,-0.004
