Sample Index,Voltage (V)
0,4.760508
1,4.760508
2,4.804497
3,4.799609
4,4.110459
5,3.870968
6,3.690127
7,3.572825
8,3.421310
9,3.294233
10,3.123167
11,3.030303
12,2.932551
13,2.790811
14,2.707722
15,2.595308
16,2.497556
17,2.375367
18,2.306940
19,2.223851
20,2.150538
21,2.067449
22,1.950147
23,1.896383
24,1.842620
25,1.749756
26,1.700880
27,1.622678
28,1.564027
29,1.505376
30,1.422287
31,1.412512
32,1.344086
33,1.290323
34,1.241447
35,1.182796
36,1.133920
37,1.094819
38,1.075269
39,1.021505
40,0.997067
41,0.953079
42,0.913978
43,0.874878
44,0.816227
45,0.816227
46,0.786901
47,0.757576
48,0.718475
49,0.694037
50,0.689150
51,0.659824
52,0.630499
53,0.606061
54,0.581623
55,0.552297
56,0.503421
57,0.527859
58,0.503421
59,0.483871
60,0.454545
61,0.434995
62,0.430108
63,0.415445
64,0.405670
65,0.386119
66,0.371457
67,0.356794
68,0.342131
69,0.332356
70,0.317693
71,0.307918
72,0.293255
73,0.273705
74,0.263930
75,0.249267
76,0.263930
77,0.234604
78,0.239492
79,0.229717
80,0.215054
81,0.210166
82,0.190616
83,0.200391
84,0.190616
85,0.171065
86,0.171065
87,0.156403
88,0.166178
89,0.146628
90,0.151515
91,0.146628
92,0.127077
93,0.122190
94,0.117302
95,0.127077
96,0.117302
97,0.122190
98,0.112414
99,0.092864
100,0.117302
101,0.087977
102,0.092864
103,0.092864
104,0.078201
105,0.073314
106,0.073314
107,0.083089
108,0.083089
109,0.073314
110,0.068426
111,0.058651
112,0.058651
113,0.058651
114,0.034213
115,0.053763
116,0.063539
117,0.058651
118,0.043988
119,0.058651
120,0.034213
121,0.053763
122,0.034213
123,0.053763
124,0.043988
125,0.029326
126,0.029326
127,0.029326
128,0.034213
129,0.034213
130,0.043988
131,0.024438
132,0.019550
133,0.029326
134,0.014663
135,0.014663
136,0.029326
137,0.019550
138,0.014663
139,0.009775
140,0.024438
141,0.029326
142,0.014663
143,0.019550
144,0.009775
145,0.024438
146,0.009775
147,0.019550
148,0.014663
149,0.004888
150,0.004888
151,0.004888
152,0.014663
153,0.000000
154,0.004888
155,0.000000
156,0.014663
157,0.014663
158,0.014663
159,0.009775
160,0.000000
161,0.014663
162,0.000000
163,0.004888
164,0.009775
165,0.000000
166,0.000000
167,0.000000
168,0.014663
169,0.000000
170,0.000000
171,0.004888
172,0.000000
173,0.000000
174,0.000000
175,0.009775
176,0.000000
177,0.000000
178,0.000000
179,0.000000
180,0.004888
181,0.000000
182,0.004888
183,0.000000
184,0.000000
185,0.009775
186,0.000000
187,0.000000
188,0.000000
189,0.000000
190,0.000000
191,0.000000
192,0.004888
193,0.000000
194,0.000000
195,0.000000
196,0.000000
197,0.004888
198,0.000000
199,0.004888
200,0.004888
201,0.000000
202,0.000000
203,0.000000
204,0.004888
205,0.000000
206,0.000000
207,0.000000
208,0.000000
209,0.004888
210,0.000000
211,0.004888
212,0.000000
213,0.000000
214,0.000000
215,0.000000
216,0.000000
217,0.000000
218,0.000000
219,0.000000
220,0.000000
221,0.000000
222,0.000000
223,0.004888
224,0.000000
225,0.000000
226,0.000000
227,0.000000
228,0.000000
229,0.000000
230,0.000000
231,0.000000
232,0.000000
233,0.000000
234,0.000000
235,0.000000
236,0.000000
237,0.000000
238,0.000000
239,0.000000
240,0.004888
241,0.000000
242,0.000000
243,0.000000
244,0.000000
245,0.000000
246,0.000000
247,0.000000
248,0.009775
249,0.000000
250,0.000000
251,0.000000
252,0.004888
253,0.000000
254,0.004888
255,0.000000
256,0.000000
257,0.000000
258,0.000000
259,0.000000
260,0.000000
261,0.000000
262,0.000000
263,0.000000
264,0.000000
265,0.000000
266,0.000000
267,0.000000
268,0.000000
269,0.000000
270,0.000000
271,0.000000
272,0.000000
273,0.000000
274,0.000000
275,0.000000
276,0.000000
277,0.000000
278,0.000000
279,0.000000
280,0.000000
281,0.000000
282,0.000000
283,0.000000
284,0.000000
285,0.000000
286,0.000000
287,0.000000
288,0.000000
289,0.000000
290,0.000000
291,0.000000
292,0.000000
293,0.000000
294,0.000000
295,0.000000
296,0.000000
297,0.000000
298,0.000000
299,0.000000
300,0.000000
301,0.000000
302,0.000000
303,0.000000
304,0.000000
305,0.000000
306,0.000000
307,0.000000
308,0.000000
309,0.000000
310,0.000000
311,0.000000
312,0.000000
313,0.000000
314,0.000000
315,0.000000
316,0.000000
317,0.000000
318,0.000000
319,0.000000
320,0.000000
321,0.000000
322,0.000000
323,0.000000
324,0.000000
325,0.000000
326,0.000000
327,0.000000
328,0.000000
329,0.000000
330,0.000000
331,0.000000
332,0.000000
333,0.000000
334,0.000000
335,0.000000
336,0.000000
337,0.000000
338,0.000000
339,0.000000
340,0.000000
341,0.000000
342,0.000000
343,0.000000
344,0.000000
345,0.000000
346,0.000000
347,0.004888
348,0.000000
349,0.000000
350,0.000000
351,0.000000
352,0.000000
353,0.000000
354,0.000000
355,0.004888
356,0.000000
357,0.000000
358,0.000000
359,0.000000
360,0.000000
361,0.000000
362,0.000000
363,0.000000
364,0.000000
365,0.000000
366,0.000000
367,0.000000
368,0.000000
369,0.000000
370,0.000000
371,0.004888
372,0.000000
373,0.004888
374,0.000000
375,0.000000
376,0.004888
377,0.000000
378,0.000000
379,0.000000
380,0.000000
381,0.000000
382,0.000000
383,0.004888
384,0.000000
385,0.004888
386,0.000000
387,0.000000
388,0.000000
389,0.000000
390,0.000000
391,0.004888
392,0.000000
393,0.000000
394,0.000000
395,0.004888
396,0.000000
397,0.004888
398,0.000000
399,0.000000
400,0.000000
401,0.000000
402,0.009775
403,0.000000
404,0.000000
405,0.000000
406,0.000000
407,0.004888
408,0.000000
409,0.004888
410,0.000000
411,0.004888
412,0.000000
413,0.000000
414,0.004888
415,0.000000
416,0.000000
417,0.000000
418,0.000000
419,0.014663
420,0.000000
421,0.004888
422,0.000000
423,0.000000
424,0.000000
425,0.000000
426,0.014663
427,0.000000
428,0.000000
429,0.000000
430,0.000000
431,0.000000
432,0.000000
433,0.004888
434,0.004888
435,0.000000
436,0.004888
437,0.000000
438,0.014663
439,0.014663
440,0.000000
441,0.000000
442,0.000000
443,0.000000
444,0.000000
445,0.000000
446,0.000000
447,0.000000
448,0.000000
449,0.000000
450,0.004888
451,0.000000
452,0.000000
453,0.000000
454,0.000000
455,0.000000
456,0.000000
457,0.014663
458,0.009775
459,0.000000
460,0.000000
461,0.000000
462,0.000000
463,0.000000
464,0.004888
465,0.000000
466,0.000000
467,0.000000
468,0.000000
469,0.000000
470,0.000000
471,0.004888
472,0.009775
473,0.000000
474,0.000000
475,0.000000
476,0.004888
477,0.000000
478,0.000000
479,0.004888
480,0.000000
481,0.000000
482,0.000000
483,0.014663
484,0.004888
485,0.004888
486,0.000000
487,0.000000
488,0.004888
489,0.000000
490,0.014663
491,0.000000
492,0.000000
493,0.000000
494,0.000000
495,0.014663
496,0.009775
497,0.000000
498,0.004888
499,0.000000
500,0.009775
501,0.009775
502,0.004888
503,0.004888
504,0.000000
505,0.014663
506,0.014663
507,0.004888
508,0.004888
509,0.000000
510,0.000000
511,0.000000
