Sample Index,Voltage (V)
0,4.159335
1,4.139785
2,4.125122
3,4.125122
4,2.971652
5,2.170088
6,1.681329
7,1.344086
8,1.129032
9,0.957967
10,0.850440
11,0.767351
12,0.698925
13,0.645161
14,0.601173
15,0.576735
16,0.547410
17,0.522972
18,0.503421
19,0.483871
20,0.474096
21,0.454545
22,0.449658
23,0.434995
24,0.430108
25,0.425220
26,0.410557
27,0.405670
28,0.405670
29,0.395894
30,0.386119
31,0.381232
32,0.386119
33,0.371457
34,0.371457
35,0.371457
36,0.366569
37,0.356794
38,0.356794
39,0.351906
40,0.347019
41,0.337243
42,0.347019
43,0.347019
44,0.347019
45,0.347019
46,0.337243
47,0.337243
48,0.342131
49,0.327468
50,0.337243
51,0.327468
52,0.327468
53,0.327468
54,0.322581
55,0.327468
56,0.327468
57,0.327468
58,0.322581
59,0.317693
60,0.327468
61,0.307918
62,0.322581
63,0.322581
64,0.317693
65,0.307918
66,0.307918
67,0.312805
68,0.317693
69,0.317693
70,0.307918
71,0.307918
72,0.312805
73,0.307918
74,0.312805
75,0.307918
76,0.307918
77,0.307918
78,0.312805
79,0.307918
80,0.303030
81,0.312805
82,0.307918
83,0.307918
84,0.293255
85,0.307918
86,0.307918
87,0.307918
88,0.307918
89,0.307918
90,0.303030
91,0.307918
92,0.293255
93,0.307918
94,0.307918
95,0.303030
96,0.303030
97,0.298143
98,0.307918
99,0.303030
100,0.307918
101,0.303030
102,0.303030
103,0.303030
104,0.288368
105,0.307918
106,0.303030
107,0.303030
108,0.303030
109,0.293255
110,0.307918
111,0.293255
112,0.303030
113,0.293255
114,0.293255
115,0.293255
116,0.293255
117,0.293255
118,0.293255
119,0.303030
120,0.293255
121,0.298143
122,0.298143
123,0.293255
124,0.293255
125,0.293255
126,0.293255
127,0.293255
128,0.293255
129,0.293255
130,0.288368
131,0.298143
132,0.293255
133,0.293255
134,0.293255
135,0.288368
136,0.293255
137,0.293255
138,0.293255
139,0.293255
140,0.293255
141,0.293255
142,0.288368
143,0.293255
144,0.293255
145,0.293255
146,0.293255
147,0.293255
148,0.293255
149,0.293255
150,0.278592
151,0.288368
152,0.288368
153,0.288368
154,0.293255
155,0.293255
156,0.293255
157,0.293255
158,0.283480
159,0.288368
160,0.273705
161,0.293255
162,0.293255
163,0.288368
164,0.293255
165,0.278592
166,0.288368
167,0.293255
168,0.288368
169,0.278592
170,0.293255
171,0.293255
172,0.293255
173,0.293255
174,0.288368
175,0.288368
176,0.288368
177,0.273705
178,0.288368
179,0.293255
180,0.288368
181,0.283480
182,0.288368
183,0.288368
184,0.273705
185,0.288368
186,0.293255
187,0.273705
188,0.288368
189,0.273705
190,0.283480
191,0.273705
192,0.283480
193,0.278592
194,0.278592
195,0.278592
196,0.273705
197,0.288368
198,0.278592
199,0.278592
200,0.288368
201,0.278592
202,0.278592
203,0.283480
204,0.288368
205,0.273705
206,0.278592
207,0.288368
208,0.273705
209,0.278592
210,0.278592
211,0.273705
212,0.273705
213,0.273705
214,0.278592
215,0.278592
216,0.278592
217,0.273705
218,0.273705
219,0.278592
220,0.273705
221,0.278592
222,0.278592
223,0.273705
224,0.268817
225,0.273705
226,0.278592
227,0.273705
228,0.273705
229,0.273705
230,0.273705
231,0.273705
232,0.273705
233,0.278592
234,0.273705
235,0.278592
236,0.263930
237,0.273705
238,0.278592
239,0.273705
240,0.278592
241,0.273705
242,0.273705
243,0.259042
244,0.273705
245,0.278592
246,0.273705
247,0.273705
248,0.273705
249,0.273705
250,0.273705
251,0.263930
252,0.273705
253,0.273705
254,0.273705
255,0.273705
256,0.268817
257,0.278592
258,0.273705
259,0.273705
260,0.263930
261,0.273705
262,0.273705
263,0.263930
264,0.273705
265,0.273705
266,0.273705
267,0.273705
268,0.273705
269,0.273705
270,0.273705
271,0.273705
272,0.273705
273,0.273705
274,0.273705
275,0.273705
276,0.278592
277,0.273705
278,0.273705
279,0.273705
280,0.273705
281,0.273705
282,0.273705
283,0.273705
284,0.273705
285,0.273705
286,0.273705
287,0.273705
288,0.273705
289,0.273705
